Week,Day,Title,Link,dtitle1,dlink1,dpoints1,drubric1,dtype1,dtitle2,dlink2,dpoints2,drubric2,dtype2,dtitle3,dlink3,dpoints3,drubric3,dtype3,rtitle1,rlink1,rtitle2,rlink2,rtitle3,rlink3,rtitle4,rlink4,rtitle5,rlink5
0,0,"Allegory of the Cave, Feminist Manifesto, and Katie Merz's Live the Questions (The Smokestack)",,Participation: Ice Breaker Reflection Handed Out,Participation/IceBreaker,10,,written,,,,,,,,,,,Common Event: Stacks on Stacks (8/23 11:45am in Myrin 2nd Floor),,First Class Meeting 8/23 10:15am in Olin 303,,Allegory of the Cave,,Feminist Manifesto,,,
0,1,"Allegory of the Cave, Feminist Manifesto, and Katie Merz's Live the Questions (The Smokestack)",,Participation: Pre-Assessment Handed Out,Participation/PreAssessment,10,,written,,,,,,,,,,,,,,,,,,,,
0,2,"Allegory of the Cave, Feminist Manifesto, and Katie Merz's Live the Questions (The Smokestack)",,Writing: Essay 1 Handed Out,Assignments/Essay1,100,_pages/Assignments/asmt-essay1.md,written,Participation: Ice Breaker Reflection Due,Participation/IceBreaker,10,,written,,,,,,Katie Merz - Live the Questions (Smokestack),https://www.ursinus.edu/live/profiles/5345-katie-merz-live-the-questions/_ingredients/templates/berman-2018/exhibition,Center for Writing and Speaking: Reading to Write,https://www.ursinus.edu/live/files/4030-reading-to-write-ppt-001,Center for Writing and Speaking: Reading to Write Worksheet,https://www.ursinus.edu/live/files/4031-reading-to-write-worksheet-002,,,,
1,0,"Allegory of the Cave, Feminist Manifesto, and Katie Merz's Live the Questions (The Smokestack)",,Participation: Pre-Assessment Due,Participation/PreAssessment,10,,written,,,,,,,,,,,Center for Writing and Speaking: Choosing and Formatting Quotations,https://www.ursinus.edu/live/files/4032-choosing-and-formatting-quotations-ppt-001,Common Event: Difficult Conversations Workshop (9/2),,,,,,,
1,1,"Allegory of the Cave, Feminist Manifesto, and Katie Merz's Live the Questions (The Smokestack)",,Participation: Thesis Statement and Outline for Essay 1 Due,,10,,written,,,,,,,,,,,,,,,,,,,,
1,2,"Allegory of the Cave, Feminist Manifesto, and Katie Merz's Live the Questions (The Smokestack)",,Participation: Lysistrata Writing Prompt Due,Participation/Lysistrata,10,,written,,,,,,,,,,,Center for Writing and Speaking: Introducing and Analyzing Quotations,https://www.ursinus.edu/live/files/4021-introducing-and-analyzing-quotations-ppt-002,,,,,,,,
2,0,Lysistrata,,Participation: Introduction and Text Summary for Essay 1 Due,,10,,written,,,,,,,,,,,Lysistrata,,,,,,,,,
2,1,Lysistrata,,Writing: First Draft of Essay 1 Due,Assignments/Essay1,30,_pages/Assignments/asmt-essay1.md,written,Participation: Writing Fellow Meeting Reflection 1 Handed Out,Participation/WritingFellowReflection,10,_pages/Participation/participation-writingfellowreflection.md,written,,,,,,,,,,,,,,,
2,2,Lysistrata,,Participation: Sappho Writing Prompt Due,Participation/Sappho,10,,written,,,,,,,,,,,,,,,,,,,,
3,0,Sappho,,,,,,,,,,,,,,,,,Sappho (poems 1-2; 4-5; 8-9; 12-15; 17; 20-21; 37-84; 87-88; 97-100),,,,,,,,,
